标题,日期,时间,板块1,标的组合1,板块2,标的组合2,板块3,标的组合3,板块4,标的组合4,板块5,标的组合5,板块6,标的组合6,板块7,标的组合7,板块8,标的组合8,板块9,标的组合9,板块10,标的组合10,板块11,标的组合11,板块12,标的组合12,板块13,标的组合13,板块14,标的组合14,板块15,标的组合15,简述,推荐理由,预期,原文
【中金卫星赛道研究】6月卫星数据库发布,2025-07-07,20:56,航天,Starlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025年6月全球航天发射及卫星发射数据发布，Starlink卫星发射数量领先。,Starlink在卫星互联网领域持续扩张，发射数量占比较大，显示其在行业中的领先地位。,随着Starlink卫星发射数量的持续增加，预计其在卫星互联网领域的市场份额将进一步扩大。,"【中金卫星赛道研究】6月卫星数据库发布

--2025年6月，全球共完成25次航天发射，美国/中国分别完成20/3次；全球共发射卫星432颗，较上月增长14%，其中LEO卫星340颗，较上月减少4.8%，占总发射数量的78.7%。

--2025年1～6月，全球共完成141次发射，其中美国/中国分别完成95/33次，成功/失败136/5次；全球共发射卫星2085颗，YoY+57.36%，其中LEO卫星1862颗，占总发射数量的89.3%，YoY +67%。

--卫星互联网方面，Starlink在5月共发射卫星309颗（包含手机直连卫星39颗），较上月减少10.2%，占总发射数量的71.53%；本年度累计发射1447颗；Starlink累计发射数量达9079颗（包含手机直连卫星累计674颗）。国内卫星互联网工程6月发射5颗低轨组网星，累计发射34颗低轨组网星。

🌟数据库核心内容一览
内含【航天发射次数】、【卫星发射数量】、【Starlink卫星发射追踪】、【卫星发射明细】等行业详细数据。

—月度更新：
1）卫星发射数量（分国别、分轨道、分功能）
2）航天发射次数（分国别、分轨道、分箭型）
3）Starlink发射数量追踪（当月及累计）
4）当月发射明细（国别、发射场、箭型、载荷等）
5）历年发射明细（2022年至今）
6）当月重点行业政策及新闻
7）国内卫星互联网工程发射专题统计

---------------------
❗数据库月度更新，欢迎发送“机构+姓名+邮箱”加入distribution list获取更全面数据。
如有其他数据需求，欢迎建议!!!

☎欢迎联系：刘中玉/刘婧/李舜尧"
海外商发再次爆单——航宇科技【华福军工】,2025-07-07,20:56,军工,航宇科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"航宇科技与海外客户签订新供货长协，预计25-29年采购约4,460万美元航发锻件产品，海外商发景气持续，公司25年预计收入9-10亿，毛利率有望达30%。",海外需求持续且供应链产能缺口较大，新长协价格提升及NTSP新技术降本，量价齐升+成本下行逻辑稀缺。,预计公司25-26年净利润分别为2.5/3.4亿，对应估值25x/19x。,"海外商发再次爆单——航宇科技【华福军工】

[红包]公司与某海外商发客户签订新供货长协，客户将于25-29年采购约4,460万美元（约合3.2亿元人民币）的航发锻件产品。

[Rose]截止24年底，公司在手订单27.82亿+长协20.66亿；25年已合计新增长协订单7.93亿（2月4.73亿+7月3.2亿），考虑到海外需求持续且供应链产能缺口较大，预计年能或仍将有多笔长协落地，值得期待！

[Rose]海外商发景气依旧，25年预计收入9-10亿，且【新长协价格提升】＋【NTSP新技术降本】，预计25年商发毛利率有望达到30%，创历史新高，【量价齐升】+【成本下行】逻辑极其稀缺。

[烟花]【总结】亚洲第一商发锻造厂逻辑稀缺+燃机暴力增长+国产商发全面加速，预计公司25-26年净利润分别为2.5/3.4亿，对应估值25x/19x，维持重点推荐！

注*：7.9（周三）15:00董事长调研欢迎参加"
[红包]【华泰金融】南京银行深度：U型拐点确立，经营周期向上,2025-07-07,20:30,金融,南京银行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南京银行经营周期向上，新管理层上任后业绩改善动能强劲，转债触发强赎，股东增持显信心。,公司治理稳中有进、业绩改善动能强劲，转债触发强赎，交易面压力缓释，股息估值具有较高性价比。,短期业绩有望逐季向上，中期ROE提升路径清晰，全年有望延续逐季改善。,"[红包]【华泰金融】南京银行深度：U型拐点确立，经营周期向上

[庆祝]新管理层上任以来，公司治理稳中有进、业绩改善动能强劲，主要经营指标双U形曲线确立并延续。转债触发强赎，交易面压力缓释，摊薄后股息估值仍具有较高性价比。

[太阳]三大板块重塑，管理效能跃升
对公基础扎实，政企合作密切，有望持续受益于区域发展。科创、国际等加力提效。零售战略纵深推进，消金子打开全国展业空间，专业经验赋能母行。金市依托多牌照拓展多维增长点，平滑单一投资波动。

[太阳]业绩稳步改善，ROE稳步提升
短期看业绩有望逐季向上，中期看ROE提升路径清晰。Q1债市扰动下业绩仍实现大个位数增长，全年有望延续逐季改善。ROE处同业较为领先，随息差、成本持续改善，看好进一步提升潜力。

[太阳]转债触发强赎，股东增持显信心
考虑摊薄后25年股息率、PB为4.38%、0.81x，仍具较高性价比。24年以来大股东持续增持，彰显坚定信心。地方国资仍面临持续资产荒压力，公司盈利稳健、股息回报优异，为稀缺的优质标的。"
【CT电子】工业富联25H1业绩预告点评：AI业务全面爆发，业绩超市场预期,2025-07-07,20:30,AI,工业富联,,,,,,,,,,,,,,,,,,,,,,,,,,,,,工业富联25H1业绩超预期，AI服务器和GPU产品需求强劲驱动增长。,AI服务器业务营收同比增长超60%，GPU模块及算力板产品出货显著增长，高速交换机需求爆发。,25H1归母净利润同比增长36.8%-39.1%，Q2单季同比增速预计高达47.7%-52.1%。,"【CT电子】工业富联25H1业绩预告点评：AI业务全面爆发，业绩超市场预期

#事件
工业富联发布2025年半年度业绩预告。公司预计25H1实现归母净利润约119.6-121.6亿元，同比增长约36.8%-39.1%；实现扣非归母净利润约116.0-118.0亿元，同比增长约35.9%-38.3%。

#业绩增长亮眼，#AI业务驱动强劲
公司2025年上半年业绩表现强劲，25H1归母净利润同比增速高达36.8%-39.1%。尤其第二季度增长加速，Q2单季归母净利润同比增速预计高达47.7%-52.1%。业绩高增的核心驱动力源于AI服务器需求的持续强劲以及公司在云计算业务板块的领先地位，公司云计算业务在二季度实现高速增长，整体板块营收同比增长超50%。

以中值计算，25Q2公司实现归母净利润68.27亿元，同比+49.91%，环比+30.52%；扣非归母净利润67.94亿元，同比+59.45%，环比+38.58%。

#AI服务器与GPU产品放量
公司云计算业务产品结构持续优化，AI相关产品加速放量。其中，受益客户对AI数据中心Hyper-scale AI机柜产品需求不断增加，#AI服务器业务二季度营收同比增长超过60%；#面向云服务商的服务器营收同比增长超过1.5倍。同时，先进AI算力的GPU模块及GPU算力板等产品出货在二季度实现显著增长。公司凭借全球产能布局与产业链优势，在主要大客户中的核心产品份额持续提升。

#高速交换机需求爆发
在AI需求驱动下，公司通讯及移动网络设备业务中的高速交换机产品迎来爆发式增长。产品结构持续改善，#二季度800G交换机的营业收入已达到2024年全年的3倍，增长势头迅猛，成为公司业绩增长的又一强力引擎。此外，受益于大客户AI机型的热销，精密结构件业务也实现了稳健增长。"
领导好，思摩尔大涨反馈【国金轻工】,2025-07-07,20:29,电子烟,思摩尔、英美烟草,,,,,,,,,,,,,,,,,,,,,,,,,,,,,思摩尔股价大涨8%，电子烟行业安全边际显现，关注英美烟草半年报。,回调期布局机会显现，1000亿市值安全边际，电子烟市场扩容趋势清晰。,思摩尔市值有望维持或增长，关注7月31日英美烟草半年报对行业影响。,"领导好，思摩尔大涨反馈【国金轻工】

[太阳]今日思摩尔大涨8%，此前回调期，我们持续发声，坚定认为回调即是布局机会，1000亿市值（600亿HNB业务+400亿雾化电子烟业务）具备安全边际！

[咖啡]根据跟踪来看，边际上没有特别原因，前期一些利空传闻证伪叠加到1000亿的安全边际位，在后续弹性空间足够的情况下，今日表现也属正常。相关边际催化：1）英美烟草股价又快创新高；2）glo hilo营销力度不错，仙台开始摆一些地推展台了；3）路透社近日深度报道了非法电子烟产品如何进入美国市场，对此FDA承认边境管控松懈，并计划采用AI手段加强拦截，美国合规雾化电子烟市场扩容的趋势依然清晰。

注：后续重点关注7月31日英美烟草半年报交流情况"
【国金电子】SoC板块更新：中报预告期开始，关注低位绩优标的 0707,2025-07-07,20:30,半导体,乐鑫科技、瑞芯微、恒玄科技、晶晨股份、炬芯科技、全志科技、泰凌微、中科蓝讯、翱捷科技,安防,星宸科技、富瀚微、国科微、安凯微,,,,,,,,,,,,,,,,,,,,,,,,,,,SoC板块中报预告显示乐鑫科技和瑞芯微业绩增长显著，消费及工业类SoC和安防类SoC标的值得关注。,业绩预告证明上行趋势持续，市场对需求持续性的担忧减弱，下半年有望迎来估值周期切换及新催化。,随着全年业绩确定性提高，SoC板块下半年有望迎来估值提升，重点关注消费及工业类SoC和安防类SoC标的。,"【国金电子】SoC板块更新：中报预告期开始，关注低位绩优标的 0707

[玫瑰]7月7日，乐鑫和瑞芯微均披露中报业绩预告。
1⃣乐鑫科技，25年上半年实现营收12.2-12.5亿，同增33~36%，归母2.5-2.7亿，同增65~78%。以中值计算，单Q2营收6.77亿，同增27%，归母1.66亿，同增69%。
2⃣瑞芯微，25年上半年实现营收20.45亿，同增64%，归母5.2-5.4亿，同增185~195%。以中值计算，单Q2营收11.6亿，同增64%，归母3.2亿，同增178%。

[玫瑰]前期SoC板块持续承压调整，现在股价位置和估值已逐渐回到合理水平。前期板块调整主要在反映市场对需求持续性的担忧，市场担心板块二季度业绩持续性，但随着绩优公司预告落地，证明上行趋势仍在持续。同时对国补退坡或者关税影响的担忧在逐渐减弱，后续国补资金在分批有序下达，中美经贸磋商也取得一定进展。#展望下半年，我们可以参考24年的行情，上半年炒业绩以及下半年确定性下炒边际。随着全年业绩确定性越来越高，下半年有望迎来估值周期切换以及端侧新催化，包括但不限于端侧产品、端侧应用以及端侧模型，建议重点关注！

[太阳]建议关注，#消费及工业类SoC，恒玄科技、瑞芯微、晶晨股份、乐鑫科技、炬芯科技、全志科技、泰凌微、中科蓝讯、翱捷科技；#安防类SoC，星宸科技、富瀚微、国科微、安凯微。

联系人：国金电子樊志远团队 应明哲"
📈【天风建材】宏和科技再度涨停，中材科技、国际复等盘中冲高，继续重视特种玻纤投资链条,2025-07-07,20:29,建材,宏和科技、中材科技、国际复材、菲利华,新材料,中材科技、国际复材、菲利华,,,,,,,,,,,,,,,,,,,,,,,,,,,天风建材推荐特种玻纤投资链条，宏和科技、中材科技、国际复材和菲利华表现突出，电子布投资逻辑被重申。,宏和科技弹性大，产品优势领先；中材科技高性能布品种最全&量最大；国际复材和菲利华为滞涨标的，未来利润预期高。,宏和科技明年市值看200e附近；中材科技26年新材料市值+主业市值=450e+；国际复材26/27年特种电子布净利润约3.1/4.8亿；菲利华26年贡献利润约2e。,"📈【天风建材】宏和科技再度涨停，中材科技、国际复等盘中冲高，继续重视特种玻纤投资链条

[拳头]我们于上周五推荐新增关注国际复材，于周日电话会再次重申重视电子布投资逻辑，今日继续录得较高涨幅，持续推荐！

[玫瑰]#宏和科技弹性大，二代/CTE布优势领先，产品纯。25-27年约分别贡献1e+/4e+/6e+利润，主业2亿米传统电子布，合计利润约2.5e/6~7e/8.5e+，看30X对应明年200e附近市值。我们最早跟踪公司，此前机构关注度少，6月开始市场对预期产能指引上修，#此轮行情估值需被重新理解！

[玫瑰]#中材科技高性能布品种最全&量最大、Q布优势领先，主业亦共振向上，长期持有价值品种。今年高性能电子布3e/明年7e+利润，基本已成共识。26年240e新材料市值+230e主业市值=450e+，当前位置仍有较大空间！

[玫瑰]#国际复材LDK二代布量大，滞涨标的。26/27年特种电子布净利润约3.1/4.8亿。主业处二梯队，120wt产能。当前市值未打入lowdk利润预期，后续有望接棒热度！

[玫瑰]#菲利华Q布量大，滞涨标的。2026/2027电子布200/400万米。今年全年Q布预计5000万营收，毛利率50%，测算26年贡献利润约2e。"
[红包]【国金可选-商社】永辉超市事件点评 20250707,2025-07-07,20:29,零售,永辉超市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,永辉超市发布公开信，强调廉洁合作、供应商入驻政策及财务结算纪律，显示供应链改革决心。,永辉超市通过建立独立监督体系和优化财务结算流程，推动去入场费改革，提升供应链效率和商品价格竞争力。,去入场费改革完成后，永辉超市商品价格有望下降，供应链效率提升，可能带动业绩增长。,"[红包]【国金可选-商社】永辉超市事件点评 20250707

[红包]事件：永辉超市7月7日发布《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D"" title=""%E6%9F%A5%E6%89%BE%E5%9B%BE%E4%B9%A6"" />致供应商伙伴的公开信》 

[太阳]核心内容：
1）	重点提到“廉洁合作”，公布举报通道
如永辉超市员工有索贿受贿、刁难等行为，可通过3种途径举报。一经查实，追究涉事人员法律责任并终止与涉事供应商合作。

2）重新申明供应商入驻政策，拒绝潜规则
所有供应商通过永辉官网或指定二维码提交合作申请，禁止任何员工(包括管理层)私自推荐供应商。

3）坚守财务结算纪律，保证资金周转
严格按照合同约定账期及系统流程，确保付款及时、准确。设立供应商财务结算专线，提供即时在线支付，24小时内响应需求

[太阳]事件点评——永辉调改进入深水区，供应链改革决心凸显

[红包]去入场费正在进行中，这是推动永辉标品价格下降，质量提升的核心

“入场费”长期阻碍超市商品质量提高，导致商品价格虚高。目前网络上部分评论认为胖改后的永辉超市商品价格贵，其背后主要原因来自于部分商品还未实现“去入场费”，待到“去入场费”完成，商品将回归合理价位，具备价格优势。

[红包]《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D"" title=""%E6%9F%A5%E6%89%BE%E5%9B%BE%E4%B9%A6"" />公开信》自上而下实施独立监督体系，有助于破除区域供应链利益顽疾

《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D"" title=""%E6%9F%A5%E6%89%BE%E5%9B%BE%E4%B9%A6"" />公开信》表明永辉建立了独立监督体系，对全国范围“去入场费”起到明显推动作用，避免任何员工（包括管理层）私自推荐供应商，有助于将永辉供应链多年积累问题逐步解决，提升供应效率。

[红包]良好的回款纪律，是保证“去入场费”的重要条件

更快账期是保证“去入场费”的重要条件，永辉设立专门供应商结算专线，有助于动员全公司资金，及时保证供应商回款，加速“去入场费”改革完成。"
【天风电子】瑞芯微25Q2创历史新高，AIOT保持高增长，汽车与机器人重点领域持续拓展,2025-07-07,20:29,半导体,瑞芯微,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瑞芯微25Q2业绩创历史新高，AIOT保持高增长，汽车与机器人领域持续拓展。,旗舰产品与次新品带领AIoT各产品线高速增长，汽车、工业控制、机器视觉及机器人领域扩张。,25H1收入同比+64%，归母净利同比+185%～195%；25Q2收入同比+63%，归母净利同比+179%。,"【天风电子】瑞芯微25Q2创历史新高，AIOT保持高增长，汽车与机器人重点领域持续拓展

👉🏻事件：公司发布25年半年报业绩预告，25H1实现收入20.45e，同比+64%；实现归母净利5.2e～5.4e，同比+185%～195%。25Q2单季度实现收入11.55e，同比+63%，环比+30%；实现归母净利按中值测算为3.2e，同比+179%，环比+53%。

🌟公司旗舰产品与次新品带领AIoT各产品线继续保持高速增长，特别在汽车、工业控制、机器视觉及各类机器人等重点领域持续扩张。

🌟瑞芯微开发者大会将于7/17-7/18举办，预计发布新品包含端侧算力协处理器、4K视觉芯片、音频处理器等。
联系人：潘暕/程如莹"
【中信电子】预计25Q3 DDR4合约价大幅上涨，持续首推兆易创新,2025-07-07,20:29,半导体,兆易创新、聚辰股份、澜起科技,电子,香农芯创,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4合约价预计25Q3大幅上涨，兆易创新等存储相关公司受益。DDR5渗透率有望加快提升，聚辰股份、澜起科技受关注。,DDR4产能转向高价值产品，市场积极备货导致价格上涨。存储模组厂盈利拐点已现，相关公司盈利修复及市场份额增长预期强烈。,25Q3 DDR4/LPDDR4X合约价涨幅预计达20~40%。存储相关公司盈利环比增长，兆易创新等有望获得显著利润弹性。,"【中信电子】预计25Q3 DDR4合约价大幅上涨，持续首推兆易创新

DRAM原厂持续将产能转向DDR5和HBM高价值量产品，并陆续宣布PC/Server用DDR4以及Mobile用LPDDR4X进入产品生命周期末期，引发市场对DDR4积极备货，据TrendForce统计25Q2 DDR4/LPDDR4X合约价涨幅0~25%不等，涨幅落后于现货模组产品；三季度再迎传统旺季备货动能，TrendForce预计DDR4/LPDDR4X涨幅将达20~40%不等。

主流存储与利基DRAM涨价，主要存储厂商环比均增长，存储模组厂Q2为盈利拐点，我们预计25Q3维持环增态势。内存条涨价下，香农芯创有望显著获得利润弹性；兆易创新DDR4新品放量、盈利修复并有望受益于原厂退出获得市场份额，我们重点推荐，＃欢迎联系我们获取弹性测算。

此外，部分DDR4价格大涨后超过DDR5价格，叠加原厂逐步退出DDR4，我们认为DDR5渗透率有望加快提升，重点关注聚辰股份、澜起科技。

欢迎联系 中信电子 徐涛/王子源/程子盈/郑凯"
【港股新消费逆市反弹点评0707】#港股消费50ETF159265~更聚焦「新」消费「新」茶饮～今日涨幅领先同类,2025-07-07,20:28,新消费,港股消费50ETF159265、泡泡、老铺、安踏、李宁、思摩尔、古茗、蜜雪、维他奶,电商,阿里、京东,外卖,饿了么,,,,,,,,,,,,,,,,,,,,,,,,,港股新消费板块逆市反弹，港股消费50ETF159265涨幅领先，聚焦新茶饮等新消费领域。外卖价格战或成持久战，利好茶饮、餐饮板块。,外卖补贴力度加大和新消费含量高的港股消费50ETF159265，以及电商利润稳定提升，推动板块增长。,Q3旺季及外卖补贴力度加大有望推动茶饮、餐饮同店改善及业绩上调，新消费板块有望持续受益。,"【港股新消费逆市反弹点评0707】#港股消费50ETF159265~更聚焦「新」消费「新」茶饮～今日涨幅领先同类

⭕️外卖价格战或成持久战，长期利好茶饮、餐饮等板块。

目前外卖市场规模已达1.5万亿，即时零售不到1万亿，而电商市场规模高达20万亿，随着电商竞争的趋缓带来阿里京东电商利润的稳定提升，以及阿里组织的变化(蒋凡回来后收编了饿了么)，使得平台拥有更多的权限和资源去竞争即时零售，外卖补贴价格战或成持久战，预计下半年外卖补贴力度有望维持今年6月份力度，Q3旺季&外卖补贴力度加大有望推动茶饮、餐饮同店改善及业绩上调，尤其利好外卖占比高的茶饮公司。

#港股消费50ETF～159265
看稀缺性：90%成份股仅在港股上市，填补A股新消费空白
看纯度：非车非酒非互联网，更纯的港股消费指数（仅有0.37%的珍酒李渡），没有平台公司拖累
看“新”消费含量：几个纬度看“新”消费含量更高
1⃣️前十大新消费含量：潮玩、潮流服饰、古法黄金、消费电子「泡泡」+「老铺」+「安踏/李宁」+「思摩尔」达26.86% （vs恒生消费前十大新消费仅含泡泡和安踏为19.56%）
2⃣️港股三姐妹：「泡泡」+「老铺」+「蜜雪」达14.48%（vs恒生消费12.9%）
3⃣️“新”茶饮：「古茗」+「蜜雪」+「维他奶」含量近4%（vs恒生消费指数1%）

‼️仅供内部参考，基金投资需谨慎"
【浙商计算机】长亮科技：寻找合作伙伴，掘金稳定币,2025-07-07,20:28,金融科技,长亮科技、渣打银行、京东币链、圆币、神州信息、宇信科技、腾讯、微众银行、小米、蚂蚁、京东,区块链,长亮科技、渣打银行、京东币链、圆币,,,,,,,,,,,,,,,,,,,,,,,,,,,长亮科技计划进军稳定币领域，与渣打银行等合作，研究数字化解决方案。公司海外营收领先，中标泰国SCB银行核心系统项目，腾讯持股并合作紧密。稳定币战略意义凸显，香港将实施全球首个全面稳定币监管框架。,长亮科技在金融科技和区块链领域的深入布局，以及与腾讯等科技巨头的合作，为其在稳定币领域的发展提供了坚实基础。香港稳定币监管框架的即将实施，为行业带来明确发展方向。,长亮科技在稳定币领域的进展有望推动其股价上涨，预计金融科技和区块链板块将受益于稳定币的全球发展趋势。,"【浙商计算机】长亮科技：寻找合作伙伴，掘金稳定币

事件驱动
公司计划进军稳定币，正从两方面开展工作：1）研究基于稳定币发行、运营、交易场景的数字化解决方案，向行业推出；2）通过部分合作伙伴与客户群体，展开市场研究，争取合作的机会。

公司看点
#长亮科技与香港稳定币沙盒参与方渣打存在长期业务合作。香港稳定币沙盒测试共三家，渣打居其一（另外两家为京东币链及圆币）。长亮科技香港子公司乾坤烛历史上多次为渣打银行提供CORE系统、COPIA交易平台等银行IT系统，覆盖地区包括中国香港、中国台北、新加坡、伦敦。

#公司海外营收领先，跑通出海路径。公司2016年开始出海，2024年海外营收1.29亿元，海外营收占比7.43%，显著领先于其他银行IT可比公司（神州信息、宇信科技2024海外营收不足千万元）。公司中标泰国SCB银行核心系统项目，是中国企业首次在东南亚建设大型银行核心系统，打破欧美企业垄断，未来有望持续中标。

#腾讯持股0.72%，为第七大股东，且与公司在金融科技领域有紧密业务合作。公司深度参与微众银行核心系统建设，与腾讯云签署战略合作协议，推动互联网金融、跨境金融、海外业务等金融领域的发展。考虑到小米、蚂蚁、京东等科技大厂纷纷布局稳定币，未来腾讯存在下场的可能。

稳定币战略意义凸显
#高效、低成本支付。稳定币依托区块链实现点对点实时清算，手续费低至0.01至0.001美元，远低于传统模式的1.8%至2.5%，结算时间也由5-7天缩短至几分钟甚至几秒。
#全球数字金融竞争的关键工具。稳定币与法币挂钩，伴随稳定币在全球市场的加速渗透，国家法币的影响力将水涨船高。
#监管框架即将落地。香港地区将于2025年8月1日实施全球首个全面稳定币监管框架，标志着其在Web3.0和加密金融领域的战略布局正式落地。
#货币政策委员黄益平：在香港做盯住离岸人民币的稳定币，这是一种可能性。

风险提示：竞争风险、政策风险、需求变化风险"
【申万汽车】零跑近况更新,2025-07-07,20:28,汽车,零跑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,零跑汽车二季度老车改款，下半年切换至LEAP 3.5架构，全年毛利率有望达10%+。海外销量目标5-6万辆，1-5月已突破1.7万辆。新车B01交付，B05Q4上市，2026年规划A、D平台新车。与Stellantis合作马来西亚工厂启动，欧洲项目26年年中量产。,零跑汽车通过车型改款、新架构切换及供应商降本，提升毛利率。海外市场扩张及与Stellantis的战略合作，有望带来销量和盈利的双增长。,全年毛利率有望达到10%+，海外销量目标5-6万辆，明年海外盈利拐点和销量明显突破。,"【申万汽车】零跑近况更新

[太阳]二季度老车集中改款，预计下半年车型陆续切换到LEAP 3.5架构、且供应商降本持续体现后，全年毛利率有望达到10%+。海外销量目标5-6万辆，1-5月海外销量突破1.7万辆，出海加速下明年将看到海外盈利拐点和销量明显突破。

[太阳]新车及改款
# 新车： B01已开启大规模交付，精准定位年轻市场有望取得可观月销；B05将于Q4上市。
# 2026年车型规划： 推出A平台和D平台新车，A平台类似国内A0级车型，D平台是C或C+级车型。C平台至少三款车型，包括MPV和5/6座SUV。

[太阳]海外工厂陆续启动：公司与Stellantis合作的马来西亚工厂项目已启动，预计年底可见成果；欧洲项目预计将于26年年中实现本地化量产，本地化后可规避关税，进一步提升海外毛利率，也是未来# 盈利能力提升的重点方向。

[太阳]战略合作&零部件外供： 与Stellantis签署碳积分转让协议稳定贡献盈利；与合作伙伴进行战略合作，共同开发新产品，带来高毛利率收入，拉升整体毛利率。除Stellantis、一汽外，手头仍有其余零部件定点，涉及电池、电驱、电控等零部件。

☎联系人：戴文杰、樊夏沛、朱傅哲、邵翼13262233665"
🎈【上海洗霸】潜在一线硫化锂核心标的，重点推荐！,2025-07-07,19:47,新能源,上海洗霸、有研新材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上海洗霸计划竞拍有研新材硫化锂相关资产，有望成为国内硫化锂第一梯队玩家。,有研新材硫化锂产品性能领先，上海洗霸收购其资产将显著提升市场地位。,若收购成功，上海洗霸市值有望达到170亿，看翻倍空间。,"🎈【上海洗霸】潜在一线硫化锂核心标的，重点推荐！

#事件

7月7日，公司公告计划参与竞拍有研新材公开挂牌转让的硫化锂相关资产，竞拍资产包括无形资产和固定资产两部分，无形资产主要是2项硫化锂专利以及高纯硫化锂生产技术，固定资产包括硫化锂生产线配套的相关设备。

#公司有望跃升为硫化锂环节第一梯队玩家

根据产业链调研，目前头部电池企业硫化锂送样进展最快，性能参数最领先的就是有研新材的产品，其纯度和粒径可与海外头部企业媲美，且有研是目前国内唯一可以实现硫化锂吨级出货的企业。

在C链中，有研硫化锂已通过A→D轮四轮测试，有望率先放量。公司若收购有研硫化锂资产，有望成为国内硫化锂第一梯队玩家。

#空间测算

根据有研新材市值推测，我们预计硫化锂资产值100亿市值，公司主业市值20亿，硅碳负极市值50亿（ATL战略合作），若公司收购成功，合计市值170亿，看翻倍空间！"
